Connector , Pin  FPGA Pin
J1        , 133  W2
J1        , 134  W10
J1        , 135  W1
J1        , 136  Y10
J1        , 137  ""
J1        , 138  ""
J1        , 139  Y2
J1        , 140  U11
J1        , 141  Y1
J1        , 142  V11
J1        , 143  ""
J1        , 144  ""
J1        , 145  N7
J1        , 146  AA10
J1        , 147  P7
J1        , 148  AB10
J1        , 149  ""
J1        , 150  ""
J1        , 151  P6
J1        , 152  P17
J1        , 153  R5
J1        , 154  R17
J1        , 155  ""
J1        , 156  ""
J1        , 157  U19
J1        , 158  T19
J1        , 159  U20
J1        , 160  T20
J1        , 161  ""
J1        , 162  ""
J1        , 163  Y21
J1        , 164  V21
J1        , 165  Y22
J1        , 166  V22
J1        , 167  ""
J1        , 168  ""
J1        , 169  W21
J1        , 170  U21
J1        , 171  W22
J1        , 172  U22
J1        , 173  ""
J1        , 174  ""
J1        , 175  T5
J1        , 176  N5
J1        , 177  R6
J1        , 178  P5
J1        , 179  ""
J1        , 180  ""
